seed,alpha,acc_clean_head,acc_robust_head,acc_router,acc_softgate,oracle,tau,ahat_mean,ridge_R2,ridge_MAE
43,-0.3,80.53,83.08,82.83,82.75,83.08,0.1,-0.2698,0.8323,0.0598
43,-0.2,84.04,84.65,84.58,84.69,84.65,0.1,-0.169,0.8323,0.0598
43,-0.1,86.35,86.03,86.25,86.48,86.35,0.1,-0.0766,0.8323,0.0598
43,0.0,87.47,86.43,87.1,87.3,87.47,0.1,0.01,0.8323,0.0598
43,0.1,86.22,86.26,86.45,86.68,86.26,0.1,0.0914,0.8323,0.0598
43,0.2,81.5,85.21,85.03,84.68,85.21,0.1,0.1659,0.8323,0.0598
43,0.3,69.23,82.67,82.67,81.73,82.67,0.1,0.2307,0.8323,0.0598
