seed,alpha,acc_clean_head,acc_robust_head,acc_router,acc_softgate,oracle,tau,ahat_mean,ridge_R2,ridge_MAE
44,-0.3,80.24,82.99,82.9,82.51,82.99,0.075,-0.2684,0.8305,0.0599
44,-0.2,83.85,84.64,84.56,84.69,84.64,0.075,-0.1685,0.8305,0.0599
44,-0.1,86.14,85.93,86.08,86.4,86.14,0.075,-0.0762,0.8305,0.0599
44,0.0,87.28,86.44,87.07,87.22,87.28,0.075,0.0102,0.8305,0.0599
44,0.1,86.32,86.43,86.47,86.88,86.43,0.075,0.0911,0.8305,0.0599
44,0.2,82.61,85.33,85.32,85.56,85.33,0.075,0.1654,0.8305,0.0599
44,0.3,71.83,83.26,83.26,82.96,83.26,0.075,0.231,0.8305,0.0599
