alpha,accuracy,loss
-0.3,77.2700,0.942840
-0.2,81.0200,0.678192
-0.1,84.2300,0.513981
0.0,85.4900,0.446448
0.1,82.8700,0.502071
0.2,73.6500,0.772936
0.3,56.0800,1.377893
