alpha,accuracy,loss
-0.3,76.0600,0.969324
-0.2,79.9900,0.707460
-0.1,83.2600,0.537622
0.0,84.9000,0.459392
0.1,82.6600,0.504517
0.2,73.5000,0.775409
0.3,55.0800,1.382706
