alpha,accuracy,loss
-0.3,55.3300,5.999072
-0.2,74.6700,2.133263
-0.1,85.6300,0.832168
0.0,89.9000,0.507245
0.1,86.4200,0.633784
0.2,70.0300,1.394344
0.3,39.9600,3.107266
