condition,head_acc,rand_label_acc_mean,rand_label_acc_std,n_seeds,chance,dev_from_chance,headroom_rand
clean,59.99,1.01,0.12,3,1.0,0.01,-58.98
all|alpha=+0.1,58.09,0.95,0.08,3,1.0,-0.05,-57.14
all|alpha=-0.1,57.22,1.01,0.14,3,1.0,0.01,-56.21
all|alpha=+0.2,47.62,0.88,0.1,3,1.0,-0.12,-46.74
all|alpha=-0.2,51.14,1.02,0.11,3,1.0,0.02,-50.12
all|alpha=+0.3,28.09,1.11,0.13,3,1.0,0.11,-26.98
all|alpha=-0.3,42.91,1.03,0.18,3,1.0,0.03,-41.88
all|alpha=+0.4,12.32,1.07,0.0,3,1.0,0.07,-11.25
all|alpha=+0.5,6.09,0.85,0.07,3,1.0,-0.15,-5.24
