condition,split_mean,split_std,split_min,split_max,bootstrap_mean,bootstrap_std,overall_std,overall_range,n_splits,n_bootstrap
clean,52.8,0.2,52.51,53.08,51.56,0.3,0.65,1.93,5,3
all|alpha=+0.1,52.86,0.32,52.41,53.42,51.39,0.2,0.77,2.24,5,3
all|alpha=-0.1,51.55,0.17,51.36,51.82,50.44,0.17,0.56,1.52,5,3
all|alpha=+0.2,51.01,0.41,50.56,51.76,49.4,0.12,0.84,2.5,5,3
all|alpha=-0.2,49.41,0.28,49.09,49.88,48.22,0.27,0.64,2.04,5,3
all|alpha=+0.3,47.38,0.47,46.88,48.14,45.6,0.14,0.95,2.65,5,3
all|alpha=-0.3,46.63,0.28,46.27,47.15,45.1,0.38,0.81,2.53,5,3
all|alpha=+0.4,42.07,0.2,41.77,42.26,39.61,0.14,1.2,2.82,5,3
all|alpha=+0.5,35.77,0.26,35.39,36.1,33.07,0.28,1.33,3.42,5,3
