condition,n_seeds,head_acc_same_half,head_acc_same_half_std,probe_in_5000,probe_in_5000_std,probe_in_8000,probe_in_8000_std,probe_private_5000,probe_private_5000_std,headroom_in_5000,headroom_in_5000_std,headroom_in_8000,headroom_in_8000_std,headroom_private_5000,headroom_private_5000_std,d_disjoint,d_sample_size
clean,3,59.84,0.57,51.89,0.16,52.71,0.08,48.47,0.41,-7.95,0.65,-7.13,0.6,-11.37,0.43,-3.42,-0.82
all|alpha=+0.1,3,57.94,0.31,51.99,0.38,52.62,0.25,48.39,0.24,-5.95,0.08,-5.32,0.34,-9.55,0.5,-3.6,-0.63
all|alpha=-0.1,3,56.88,0.45,50.97,0.11,52.22,0.3,47.49,0.49,-5.91,0.56,-4.66,0.68,-9.39,0.33,-3.49,-1.25
all|alpha=+0.2,3,47.38,0.54,49.82,0.35,51.41,0.41,47.19,0.36,2.44,0.26,4.03,0.58,-0.19,0.86,-2.63,-1.59
all|alpha=-0.2,3,51.04,0.37,48.38,0.34,50.34,0.16,45.79,0.13,-2.66,0.68,-0.7,0.49,-5.25,0.27,-2.59,-1.96
all|alpha=+0.3,3,27.73,0.39,46.15,0.54,48.13,0.08,43.96,0.39,18.43,0.7,20.41,0.41,16.23,0.22,-2.19,-1.98
all|alpha=-0.3,3,42.61,0.19,45.83,0.25,47.49,0.16,43.6,0.31,3.22,0.13,4.88,0.34,0.99,0.26,-2.23,-1.66
all|alpha=+0.4,3,12.2,0.44,39.94,0.34,42.56,0.2,39.33,0.63,27.74,0.78,30.36,0.42,27.13,0.59,-0.61,-2.62
all|alpha=+0.5,3,6.13,0.36,33.45,0.3,36.59,0.13,32.83,0.67,27.33,0.56,30.47,0.28,26.71,0.39,-0.62,-3.14
