condition,private_probe_acc_mean,private_probe_acc_std,n_probe_train,n_probe_eval,note
clean,48.47,0.41,5000,5000,探针训练与评估均取 test split（主干训练集之外），与主干完全不相交
all|alpha=+0.1,48.39,0.24,5000,5000,探针训练与评估均取 test split（主干训练集之外），与主干完全不相交
all|alpha=-0.1,47.49,0.49,5000,5000,探针训练与评估均取 test split（主干训练集之外），与主干完全不相交
all|alpha=+0.2,47.19,0.36,5000,5000,探针训练与评估均取 test split（主干训练集之外），与主干完全不相交
all|alpha=-0.2,45.79,0.13,5000,5000,探针训练与评估均取 test split（主干训练集之外），与主干完全不相交
all|alpha=+0.3,43.96,0.39,5000,5000,探针训练与评估均取 test split（主干训练集之外），与主干完全不相交
all|alpha=-0.3,43.6,0.31,5000,5000,探针训练与评估均取 test split（主干训练集之外），与主干完全不相交
all|alpha=+0.4,39.33,0.63,5000,5000,探针训练与评估均取 test split（主干训练集之外），与主干完全不相交
all|alpha=+0.5,32.83,0.67,5000,5000,探针训练与评估均取 test split（主干训练集之外），与主干完全不相交
