alpha,accuracy,loss
-0.3,77.6000,1.600503
-0.2,82.5000,1.011909
-0.1,85.5300,0.671599
0.0,87.5900,0.492207
0.1,86.9000,0.443427
0.2,82.0900,0.561395
0.3,69.1400,0.957377
