alpha,accuracy,loss
-0.3,51.8300,7.017273
-0.2,72.7600,2.394881
-0.1,85.2200,0.856265
0.0,89.8000,0.490986
0.1,85.6500,0.649183
0.2,66.8300,1.524255
0.3,36.7000,3.308637
