alpha,accuracy,loss
-0.3,24.4800,9.682983
-0.2,43.2800,4.455571
-0.1,60.1400,2.225058
0.0,67.0900,1.563895
0.1,60.9400,1.771406
0.2,39.0500,2.908753
0.3,16.9200,4.597800
