alpha,accuracy,loss
-0.3,43.5700,3.294115
-0.2,51.2100,2.280737
-0.1,57.5100,1.705181
0.0,60.5000,1.472648
0.1,58.0700,1.543715
0.2,46.6900,2.011152
0.3,26.3900,3.009694
