alpha,accuracy,loss
-0.3,42.9100,3.368336
-0.2,51.1400,2.350227
-0.1,57.2200,1.762190
0.0,59.9900,1.495841
0.1,58.0900,1.528436
0.2,47.6200,1.954140
0.3,28.0900,2.857278
