alpha,accuracy,loss
-0.3,24.48,9.682983
-0.2,43.28,4.455571
-0.1,60.14,2.225058
0.0,67.09,1.563895
0.1,60.94,1.771406
0.2,39.05,2.908753
0.3,16.92,4.5978
