model_name,total_params,clean_accuracy,acc_at_alpha_0.3,acc_drop_at_0.3
simple_cnn,242474,84.9,55.08,29.82
resnet18,11173962,92.09,17.08,75.01
vgg11,9231114,89.8,36.7,53.1
NAT-simple_cnn,242474,86.49,64.23,22.26
NAT-resnet18,11173962,92.27,15.64,76.63
NAT-vgg11,9231114,90.18,44.74,45.44
