num_bits,accuracy,loss,dose
2,1.05,10.446282,0.940971
3,10.87,6.427069,0.564195
4,19.75,4.171697,0.25763
5,17.63,4.523649,0.121124
6,17.03,4.590865,0.058543
8,16.91,4.598096,0.014263
