condition,alpha,num_bits,conv1_output_mean,conv1_output_std,conv1_output_kurtosis,classifier_input_mean,classifier_input_std,classifier_input_kurtosis
clean,0.0,32,-0.000614,0.649212,4.8661,0.994882,0.83318,2.5406
bit=2,0.3,2,-0.001853,0.774206,5.7382,1.205693,0.991999,0.0879
bit=3,0.3,3,-0.000894,0.601353,4.7038,1.073318,0.813262,1.0227
bit=4,0.3,4,-0.000588,0.570693,5.3176,0.904188,0.708473,0.9802
bit=5,0.3,5,-0.000591,0.566403,5.4651,0.883899,0.701186,0.8859
bit=6,0.3,6,-0.000543,0.564707,5.4691,0.877268,0.697481,0.8486
bit=8,0.3,8,-0.000569,0.564523,5.4868,0.875295,0.696438,0.8473
