model,weight_type,alpha,accuracy,loss,is_extrapolation
vgg11,nat_finetune,0.3,39.96,3.107266,False
vgg11,nat_finetune,0.35,29.52,4.020411,True
vgg11,nat_finetune,0.4,23.64,4.690785,True
vgg11,nat_finetune,0.5,17.11,5.380804,True
vgg11,nat_finetune,0.6,10.62,5.821826,True
resnet18,clean,-0.6,10.0,441.792986,True
resnet18,clean,-0.5,10.02,201.994797,True
resnet18,clean,-0.4,10.3,89.674389,True
resnet18,clean,-0.35,10.83,58.311541,True
resnet18,clean,-0.3,12.38,36.301144,False
resnet18,clean,-0.2,32.98,9.397861,False
resnet18,clean,-0.1,81.64,1.122567,False
resnet18,clean,0.0,92.09,0.414732,False
resnet18,clean,0.1,82.78,0.840103,False
resnet18,clean,0.2,43.97,3.407078,False
resnet18,clean,0.3,17.08,5.440174,False
resnet18,clean,0.35,11.27,5.73059,True
resnet18,clean,0.4,10.06,5.727731,True
resnet18,clean,0.5,10.0,5.288694,True
resnet18,clean,0.6,10.0,4.691794,True
resnet18,nat_scratch,-0.6,10.0,191.913026,True
resnet18,nat_scratch,-0.5,10.0,89.722105,True
resnet18,nat_scratch,-0.4,10.44,41.215557,True
resnet18,nat_scratch,-0.35,12.32,27.114874,True
resnet18,nat_scratch,-0.3,18.65,16.819109,False
resnet18,nat_scratch,-0.2,51.82,4.606549,False
resnet18,nat_scratch,-0.1,84.22,0.970676,False
resnet18,nat_scratch,0.0,92.27,0.417313,False
resnet18,nat_scratch,0.1,86.82,0.647158,False
resnet18,nat_scratch,0.2,48.52,3.03517,False
resnet18,nat_scratch,0.3,15.64,6.411998,False
resnet18,nat_scratch,0.35,12.26,6.687412,True
resnet18,nat_scratch,0.4,10.63,6.38897,True
resnet18,nat_scratch,0.5,10.02,5.380165,True
resnet18,nat_scratch,0.6,9.99,4.5172,True
resnet18,nat_finetune,-0.6,10.0,323.259023,True
resnet18,nat_finetune,-0.5,10.04,148.643111,True
resnet18,nat_finetune,-0.4,10.39,66.292685,True
resnet18,nat_finetune,-0.35,11.17,42.985916,True
resnet18,nat_finetune,-0.3,13.34,26.353515,False
resnet18,nat_finetune,-0.2,42.74,6.099292,False
resnet18,nat_finetune,-0.1,84.93,0.877875,False
resnet18,nat_finetune,0.0,91.99,0.426069,False
resnet18,nat_finetune,0.1,81.35,0.954442,False
resnet18,nat_finetune,0.2,44.56,3.657459,False
resnet18,nat_finetune,0.3,19.89,5.580833,False
resnet18,nat_finetune,0.35,12.89,5.862358,True
resnet18,nat_finetune,0.4,10.31,5.878302,True
resnet18,nat_finetune,0.5,10.0,5.474876,True
resnet18,nat_finetune,0.6,10.0,4.890416,True
