alpha,accuracy,loss
-0.3,40.5800,5.246142
-0.2,50.2500,3.057271
-0.1,57.9500,1.971665
0.0,60.8700,1.528726
0.1,57.6600,1.548671
0.2,43.3900,2.112451
0.3,21.8700,3.278299
