alpha,accuracy,loss
-0.6,25.0200,
-0.5,31.1900,
-0.4,38.1400,
-0.35,41.9900,
-0.3,46.2900,
-0.2,53.4600,
-0.1,58.7300,
0.0,61.0300,
0.1,56.8500,
0.2,41.6800,
0.3,20.4800,
0.35,12.4800,
0.4,7.5500,
0.5,2.7100,
0.6,1.3000,
