alpha,accuracy,loss
-0.3,43.1000,4.469898
-0.2,52.1500,2.759434
-0.1,58.1700,1.863649
0.0,61.2200,1.493491
0.1,58.1200,1.521366
0.2,46.3300,2.022270
0.3,25.1600,3.028708
