alpha,accuracy,loss
-0.3,12.38,36.301144
-0.2,32.98,9.397861
-0.1,81.64,1.122567
0.0,92.09,0.414732
0.1,82.78,0.840103
0.2,43.97,3.407078
0.3,17.08,5.440174
