run_id,date,dataset,model,weight_type,seed,epochs,alpha_protocol,clean,drop_at_0.3,mid_band_mean,neg_0.3,pos_0.3,params,pairing_check,artifact_path,verdict
cifar100|vgg11|exp3_robust|15pt,2026-09-17,cifar100,vgg11,task3_Exp3_FullRobust,42,200,15pt(待扫),,,,,,9277284,待 eval 扫描,outputs_cifar100/extension6_deep_robust/vgg11_exp3/,v3 新增：深层 Exp3（非对称采样）
cifar100|simple_cnn|v3_adv_uniform|7pt(or wide),2026-09-17,cifar100,simple_cnn,v3_adv_uniform,42,120,v3,60.27,35.95,53.8375,45.06,24.32,254084,0.0000 PASS,outputs_cifar100/v3_methods/adv_uniform,adv/uniform
cifar100|simple_cnn|v3_budget_front|7pt(or wide),2026-09-17,cifar100,simple_cnn,v3_budget_front,42,120,v3,60.72,41.16,52.3025,46.76,19.56,254084,0.0000 PASS,outputs_cifar100/v3_methods/budget_front,budget/front
cifar100|simple_cnn|v3_budget_rear|7pt(or wide),2026-09-17,cifar100,simple_cnn,v3_budget_rear,42,120,v3,60.9,35.44,54.0325,47.42,25.46,254084,0.0000 PASS,outputs_cifar100/v3_methods/budget_rear,budget/rear
cifar100|simple_cnn|v3_budget_sens|7pt(or wide),2026-09-17,cifar100,simple_cnn,v3_budget_sens,42,120,v3,60.07,33.94,52.8,40.3,26.13,254084,0.0000 PASS,outputs_cifar100/v3_methods/budget_sens,budget/sens
cifar100|simple_cnn|v3_budget_uniform|7pt(or wide),2026-09-17,cifar100,simple_cnn,v3_budget_uniform,42,120,v3,60.85,34.82,53.5575,43.56,26.03,254084,0.0000 PASS,outputs_cifar100/v3_methods/budget_uniform,budget/uniform
cifar100|simple_cnn|v3_curriculum_uniform|7pt(or wide),2026-09-17,cifar100,simple_cnn,v3_curriculum_uniform,42,120,v3,60.25,38.47,51.9275,45.62,21.78,254084,0.0000 PASS,outputs_cifar100/v3_methods/curriculum_uniform,curriculum/uniform
cifar100|simple_cnn|v3_gauss_uniform|7pt(or wide),2026-09-17,cifar100,simple_cnn,v3_gauss_uniform,42,120,v3,55.79,33.78,48.215,40.14,22.01,254084,0.0000 PASS,outputs_cifar100/v3_methods/gauss_uniform,gauss/uniform
cifar100|simple_cnn|v3_joint_uniform|7pt(or wide),2026-09-17,cifar100,simple_cnn,v3_joint_uniform,42,120,v3,55.2,39.93,46.2175,41.77,15.27,254084,0.0000 PASS,outputs_cifar100/v3_methods/joint_uniform,joint/uniform
cifar100|simple_cnn|v3_range_0.50|7pt(or wide),2026-09-17,cifar100,simple_cnn,v3_range_uniform,42,120,v3,61.03,40.55,52.68,46.29,20.48,254084,0.0000 PASS,outputs_cifar100/v3_methods/range_0.50,range/uniform
cifar100|readout_repair_alpha+0.30|a_original_fc|7pt,2026-09-17,cifar100,readout_repair,a_original_fc,42,,7pt(读出适配),59.99,31.9,53.5175,42.91,28.09,,n/a(读出适配),outputs_cifar100/v3_readout_repair/readout_repair_alpha+0.30.csv,readout-NAT 实验
cifar100|readout_repair_alpha+0.30|e_readout_NAT|7pt,2026-09-17,cifar100,readout_repair,e_readout_NAT,42,,7pt(读出适配),56.8,12.71,54.3175,48.21,44.09,,n/a(读出适配),outputs_cifar100/v3_readout_repair/readout_repair_alpha+0.30.csv,readout-NAT 实验
cifar100|readout_repair_resnet18_alpha+0.30_n20000|a_original_fc|7pt,2026-09-17,cifar100,resnet18,a_original_fc,42,,7pt(读出适配),72.07,69.37,29.325,3.25,2.7,,n/a(读出适配),outputs_cifar100/v3_readout_repair/readout_repair_resnet18_alpha+0.30_n20000.csv,readout-NAT 实验
cifar100|readout_repair_resnet18_alpha+0.30_n20000|e_readout_NAT|7pt,2026-09-17,cifar100,resnet18,e_readout_NAT,42,,7pt(读出适配),65.4,49.13,45.995,17.88,16.27,,n/a(读出适配),outputs_cifar100/v3_readout_repair/readout_repair_resnet18_alpha+0.30_n20000.csv,readout-NAT 实验
cifar100|readout_repair_simple_cnn_alpha+0.30_n20000|a_original_fc|7pt,2026-09-17,cifar100,simple_cnn,a_original_fc,42,,7pt(读出适配),59.99,31.9,53.5175,42.91,28.09,,n/a(读出适配),outputs_cifar100/v3_readout_repair/readout_repair_simple_cnn_alpha+0.30_n20000.csv,readout-NAT 实验
cifar100|readout_repair_simple_cnn_alpha+0.30_n20000|e_readout_NAT|7pt,2026-09-17,cifar100,simple_cnn,e_readout_NAT,42,,7pt(读出适配),53.65,12.49,51.39,46.23,41.16,,n/a(读出适配),outputs_cifar100/v3_readout_repair/readout_repair_simple_cnn_alpha+0.30_n20000.csv,readout-NAT 实验
cifar100|readout_repair_simple_cnn_alpha+0.30_n20000_cr0.3|a_original_fc|7pt,2026-09-17,cifar100,simple_cnn,a_original_fc,42,,7pt(读出适配),59.99,31.9,53.5175,42.91,28.09,,n/a(读出适配),outputs_cifar100/v3_readout_repair/readout_repair_simple_cnn_alpha+0.30_n20000_cr0.3.csv,readout-NAT 实验
cifar100|readout_repair_simple_cnn_alpha+0.30_n20000_cr0.3|e_readout_NAT|7pt,2026-09-17,cifar100,simple_cnn,e_readout_NAT,42,,7pt(读出适配),54.51,16.3,51.6625,46.25,38.21,,n/a(读出适配),outputs_cifar100/v3_readout_repair/readout_repair_simple_cnn_alpha+0.30_n20000_cr0.3.csv,readout-NAT 实验
cifar100|readout_repair_simple_cnn_alpha+0.30_n20000_cr0.5|a_original_fc|7pt,2026-09-17,cifar100,simple_cnn,a_original_fc,42,,7pt(读出适配),59.99,31.9,53.5175,42.91,28.09,,n/a(读出适配),outputs_cifar100/v3_readout_repair/readout_repair_simple_cnn_alpha+0.30_n20000_cr0.5.csv,readout-NAT 实验
cifar100|readout_repair_simple_cnn_alpha+0.30_n20000_cr0.5|e_readout_NAT|7pt,2026-09-17,cifar100,simple_cnn,e_readout_NAT,42,,7pt(读出适配),54.93,15.24,52.3575,46.87,39.69,,n/a(读出适配),outputs_cifar100/v3_readout_repair/readout_repair_simple_cnn_alpha+0.30_n20000_cr0.5.csv,readout-NAT 实验
cifar100|readout_repair_simple_cnn_alpha+0.30_n20000_s43|a_original_fc|7pt,2026-09-17,cifar100,simple_cnn,a_original_fc,42,,7pt(读出适配),59.99,31.9,53.5175,42.91,28.09,,n/a(读出适配),outputs_cifar100/v3_readout_repair/readout_repair_simple_cnn_alpha+0.30_n20000_s43.csv,readout-NAT 实验
cifar100|readout_repair_simple_cnn_alpha+0.30_n20000_s43|e_readout_NAT|7pt,2026-09-17,cifar100,simple_cnn,e_readout_NAT,42,,7pt(读出适配),53.37,14.37,51.0075,46.4,39.0,,n/a(读出适配),outputs_cifar100/v3_readout_repair/readout_repair_simple_cnn_alpha+0.30_n20000_s43.csv,readout-NAT 实验
cifar100|readout_repair_simple_cnn_alpha+0.30_n20000_s44|a_original_fc|7pt,2026-09-17,cifar100,simple_cnn,a_original_fc,42,,7pt(读出适配),59.99,31.9,53.5175,42.91,28.09,,n/a(读出适配),outputs_cifar100/v3_readout_repair/readout_repair_simple_cnn_alpha+0.30_n20000_s44.csv,readout-NAT 实验
cifar100|readout_repair_simple_cnn_alpha+0.30_n20000_s44|e_readout_NAT|7pt,2026-09-17,cifar100,simple_cnn,e_readout_NAT,42,,7pt(读出适配),53.61,12.16,51.49,46.13,41.45,,n/a(读出适配),outputs_cifar100/v3_readout_repair/readout_repair_simple_cnn_alpha+0.30_n20000_s44.csv,readout-NAT 实验
cifar100|readout_repair_vgg11_alpha+0.30_n20000|a_original_fc|7pt,2026-09-17,cifar100,vgg11,a_original_fc,42,,7pt(读出适配),67.09,50.17,50.845,24.49,16.92,,n/a(读出适配),outputs_cifar100/v3_readout_repair/readout_repair_vgg11_alpha+0.30_n20000.csv,readout-NAT 实验
cifar100|readout_repair_vgg11_alpha+0.30_n20000|e_readout_NAT|7pt,2026-09-17,cifar100,vgg11,e_readout_NAT,42,,7pt(读出适配),62.57,22.43,56.3875,43.02,40.14,,n/a(读出适配),outputs_cifar100/v3_readout_repair/readout_repair_vgg11_alpha+0.30_n20000.csv,readout-NAT 实验
