alpha,accuracy,loss
-0.3,81.5400,0.798628
-0.2,84.0200,0.610974
-0.1,85.5400,0.489950
0.0,86.4900,0.426045
0.1,84.9300,0.437523
0.2,79.8200,0.594913
0.3,64.2300,1.059079
