alpha,accuracy,loss
-0.3,64.7200,4.237565
-0.2,79.4800,1.604849
-0.1,87.7300,0.707553
0.0,90.1800,0.478945
0.1,87.0300,0.595120
0.2,73.2900,1.157560
0.3,44.7400,2.563612
