alpha,accuracy,loss
-0.3,34.0700,6.935783
-0.2,50.1500,3.666299
-0.1,62.0100,2.128301
0.0,67.2500,1.587119
0.1,62.9500,1.685952
0.2,45.0400,2.512980
0.3,21.8900,3.984303
