condition,probe_same_cond_v7,probe_same_cond_v3,d_probe,head_acc_v7,head_acc_v3,d_head,headroom_v7,headroom_v3,d_headroom,head_exact,probe_within_tol
clean,53.95,52.91,1.04,59.6,59.6,0.0,-5.65,-6.69,1.04,True,False
all|alpha=+0.3,49.44,47.89,1.5475,27.77,27.76,0.015,21.66,20.12,1.5425,False,False
