alpha,accuracy,loss
-0.3,3.25,26.633385
-0.2,9.25,12.31873
-0.1,45.74,3.475682
0.0,72.09,1.399576
0.1,51.8,2.611728
0.2,10.51,6.902612
0.3,2.7,8.327652
