alpha,accuracy,loss
-0.3,3.2500,26.633385
-0.2,9.2500,12.318730
-0.1,45.7400,3.475682
0.0,72.0900,1.399576
0.1,51.8000,2.611728
0.2,10.5100,6.902612
0.3,2.7000,8.327652
