alpha,rank_eff,kappa99,fisher,dim,n
0.0,83.143,25.09,0.50689,512,10000
0.1,74.09,28.99,0.52573,512,10000
-0.1,74.101,31.82,0.34154,512,10000
0.2,53.018,37.09,0.41014,512,10000
-0.2,50.616,41.54,0.22801,512,10000
0.3,34.337,39.29,0.35527,512,10000
-0.3,27.162,60.78,0.19514,512,10000
0.4,22.677,38.92,0.34975,512,10000
-0.4,13.068,71.17,0.21596,512,10000
0.5,16.09,34.43,0.32849,512,10000
-0.5,8.206,65.2,0.25328,512,10000
