alpha,rank_eff,kappa99,fisher,dim,n
0.0,141.959,15.53,0.44883,512,10000
0.1,138.586,16.33,0.42787,512,10000
-0.1,138.471,14.99,0.41743,512,10000
0.2,122.063,17.45,0.37574,512,10000
-0.2,130.042,15.82,0.3573,512,10000
0.3,94.629,22.56,0.33023,512,10000
-0.3,116.527,18.28,0.29912,512,10000
0.4,68.503,29.92,0.29916,512,10000
-0.4,99.629,21.74,0.2571,512,10000
0.5,49.375,36.94,0.27366,512,10000
-0.5,81.86,26.09,0.23199,512,10000
