alpha,rank_eff,kappa99,fisher,dim,n
0.0,38.782,18.4,0.49096,128,10000
0.1,37.185,18.84,0.50124,128,10000
-0.1,39.43,18.23,0.46338,128,10000
0.2,34.556,19.47,0.48914,128,10000
-0.2,39.161,18.52,0.4274,128,10000
0.3,30.782,20.48,0.45669,128,10000
-0.3,37.999,19.36,0.39061,128,10000
0.4,25.6,21.62,0.41163,128,10000
-0.4,35.986,20.08,0.35732,128,10000
0.5,19.036,25.93,0.36248,128,10000
-0.5,33.271,21.25,0.32953,128,10000
