alpha,accuracy,loss
-0.3,25.2100,8.826687
-0.2,43.5200,4.222282
-0.1,59.8400,2.197923
0.0,67.1200,1.550347
0.1,62.4600,1.690881
0.2,42.9100,2.663372
0.3,19.8000,4.277332
