alpha,accuracy,loss
-0.3,78.6400,1.393571
-0.2,82.9700,0.884978
-0.1,85.8900,0.605432
0.0,87.3700,0.469276
0.1,86.5400,0.443912
0.2,81.4400,0.560306
0.3,68.7600,0.951016
